League,Team,Name,Age,Number,Position,Minutes,Goals,Assists,SV%,Yellow Cards,Red Cards
MLS,New York City Football Club,Adam Nemec,29,32,F,396,0,0,0,0,0
MLS,New York City Football Club,Javier Calle,24,30,M,265,0,0,0,1,0
MLS,New York City Football Club,Josh Saunders,34,12,GK,630,0,0,74.1,0,0
MLS,New York City Football Club,Eirik Johansen,22,25,GK,0,0,0,0,0,0
MLS,New York City Football Club,Ryan Meara,24,18,GK,0,0,0,0,0,0
MLS,New York City Football Club,Akira Fitzgerald,27,1,GK,0,0,0,0,0,0
MLS,New York Red Bull,Lloyd Sam,30,10,M­,435,3,1,0,0,0
MLS,New York Red Bull,Bradley Wright-Phillips,30,99,F,441,2,3,0,1,0
MLS,New York Red Bull,Mike Grella,28,13,F,235,2,0,0,1,0
MLS,New York Red Bull,Sacha Kljestan,29,16,M,446,1,0,0,1,0
MLS,New York Red Bull,Damien Perrinelle,31,55,D,450,1,0,0,4,0
MLS,New York Red Bull,Felipe Martins,24,8,M,444,0,3,0,0,0
MLS,New York Red Bull,Dax McCarty,27,11,M,437,0,1,0,0,0
MLS,New York Red Bull,Andrew Jean-Baptiste,22,35,D,0,0,0,0,0,0
MLS,New York Red Bull,Connor Lade,25,5,D,0,0,0,0,0,0
MLS,New York Red Bull,Karl Ouimette,22,22,D,0,0,0,0,0,0
MLS,New York Red Bull,Kyle Reynish,31,18,GK,0,0,0,0,0,0
MLS,New York Red Bull,Leo Stolz,24,19,M,0,0,0,0,0,0
MLS,New York Red Bull,Manolo Sanchez,23,17,M,0,0,0,0,0,0
MLS,New York Red Bull,Marius Obekop,20,21,M,0,0,0,0,0,0
MLS,New York Red Bull,Santiago Castano,20,24,GK,0,0,0,0,0,0
MLS,New York Red Bull,Shawn McLaws,22,3,M,0,0,0,0,0,0
MLS,New York Red Bull,Sean Davis,22,27,M,4,0,0,0,0,0
MLS,New York Red Bull,Anatole Abang,18,9,F,8,0,0,0,0,0
MLS,New York Red Bull,Dane Richards,31,91,M,58,0,0,0,0,0
MLS,New York Red Bull,Ronald Zubar,29,23,D,77,0,0,0,0,0
MLS,New York Red Bull,Anthony Wallace,26,6,D,90,0,0,0,0,0
MLS,New York Red Bull,Roy Miller,30,7,D,90,0,0,0,0,0
MLS,New York Red Bull,Sal Zizzo,28,15,M,192,0,0,0,0,0
MLS,New York Red Bull,Kemar Lawrence,22,92,D,270,0,0,0,0,0
MLS,New York Red Bull,Matt Miazga,19,20,D,373,0,0,0,0,0
MLS,New York Red Bull,Chris Duvall,23,25,D,450,0,0,0,1,0
MLS,New York Red Bull,Luis Robles,30,31,GK,450,0,0,82,0,0
MLS,Orlando City Soccer Club,Kaka,33,10,M,622,3,1,0,0,0
